time,celcius,farenheit
2021-03-29 17:59:52.023313,0,0
2021-03-29 17:59:53.040970,0,0
2021-03-29 17:59:54.041503,0,0
2021-03-29 17:59:55.041996,0,0
2021-03-29 17:59:56.043742,0,0
2021-03-29 17:59:57.047783,0,0
2021-03-29 17:59:58.050492,0,0
2021-03-29 17:59:59.051609,0,0
2021-03-29 18:00:00.057008,0,0
2021-03-29 18:00:01.061176,0,0
2021-03-29 18:00:02.063052,0,0
2021-03-29 18:00:03.068579,0,0
2021-03-29 18:00:04.069764,0,0
2021-03-29 18:00:05.071094,0,0
2021-03-29 18:00:06.076487,0,0
2021-03-29 18:00:07.081955,0,0
2021-03-29 18:00:08.084404,0,0
2021-03-29 18:00:09.089962,0,0
2021-03-29 18:00:10.090829,0,0
2021-03-29 18:00:11.091823,0,0
2021-03-29 18:00:12.092979,0,0
2021-03-29 18:00:13.093330,0,0
2021-03-29 18:00:14.097997,0,0
2021-03-29 18:00:15.098728,0,0
2021-03-29 18:00:16.104435,0,0
2021-03-29 18:00:17.109969,0,0
2021-03-29 18:00:18.111493,0,0
2021-03-29 18:00:19.117057,0,0
2021-03-29 18:00:20.119863,0,0
2021-03-29 18:00:21.124491,0,0
2021-03-29 18:00:22.126682,0,0
2021-03-29 18:00:23.129332,0,0
2021-03-29 18:00:24.135016,0,0
2021-03-29 18:00:25.137326,0,0
2021-03-29 18:00:26.138059,0,0
2021-03-29 18:00:27.139090,0,0
2021-03-29 18:00:28.139954,0,0
2021-03-29 18:00:29.144054,0,0
2021-03-29 18:00:30.144681,0,0
2021-03-29 18:00:31.148281,0,0
2021-03-29 18:00:32.150826,0,0
2021-03-29 18:00:33.151465,0,0
2021-03-29 18:00:34.152694,0,0
2021-03-29 18:00:35.158339,0,0
2021-03-29 18:00:36.159044,0,0
2021-03-29 18:00:37.160714,0,0
2021-03-29 18:00:38.163447,0,0
2021-03-29 18:00:39.168929,0,0
2021-03-29 18:00:40.174432,0,0
2021-03-29 18:00:41.178542,0,0
2021-03-29 18:00:42.180144,0,0
2021-03-29 18:00:43.185625,0,0
2021-03-29 18:00:44.191130,0,0
2021-03-29 18:00:45.192189,0,0
2021-03-29 18:00:46.192887,0,0
2021-03-29 18:00:47.193366,0,0
2021-03-29 18:00:48.194308,0,0
2021-03-29 18:00:49.195371,0,0
2021-03-29 18:00:50.196470,0,0
2021-03-29 18:00:51.197507,0,0
2021-03-29 18:00:52.198541,0,0
2021-03-29 18:00:53.199622,0,0
2021-03-29 18:00:54.200369,0,0
2021-03-29 18:00:55.201612,0,0
2021-03-29 18:00:56.207095,0,0
2021-03-29 18:00:57.209499,0,0
2021-03-29 18:00:58.212770,0,0
2021-03-29 18:00:59.213900,0,0
2021-03-29 18:01:00.215938,0,0
2021-03-29 18:01:01.221205,0,0
2021-03-29 18:01:02.222803,0,0
2021-03-29 18:01:03.226509,0,0
2021-03-29 18:01:04.231286,0,0
2021-03-29 18:01:05.235447,0,0
2021-03-29 18:01:06.236906,0,0
2021-03-29 18:01:07.238365,0,0
2021-03-29 18:01:08.238987,0,0
2021-03-29 18:01:09.240630,0,0
2021-03-29 18:01:10.246136,0,0
2021-03-29 18:01:11.251668,0,0
2021-03-29 18:01:12.255607,0,0
2021-03-29 18:01:13.259617,0,0
2021-03-29 18:01:14.261291,0,0
2021-03-29 18:01:15.266816,0,0
2021-03-29 18:01:16.267384,0,0
2021-03-29 18:01:17.267970,0,0
2021-03-29 18:01:18.268460,0,0
2021-03-29 18:01:19.272086,0,0
2021-03-29 18:01:20.272885,0,0
2021-03-29 18:01:21.278362,0,0
2021-03-29 18:01:22.279342,0,0
2021-03-29 18:01:23.280825,0,0
2021-03-29 18:01:24.284095,0,0
2021-03-29 18:01:25.288503,0,0
2021-03-29 18:01:26.292770,0,0
2021-03-29 18:01:27.295250,0,0
2021-03-29 18:01:28.296012,0,0
2021-03-29 18:01:29.301519,0,0
2021-03-29 18:01:30.307017,0,0
2021-03-29 18:01:31.312560,0,0
2021-03-29 18:01:32.313168,0,0
2021-03-29 18:01:33.315173,0,0
2021-03-29 18:01:34.316620,0,0
2021-03-29 18:01:35.321056,0,0
2021-03-29 18:01:36.326557,0,0
2021-03-29 18:01:37.327341,0,0
2021-03-29 18:01:38.329590,0,0
2021-03-29 18:01:39.331392,0,0
2021-03-29 18:01:40.336923,0,0
2021-03-29 18:01:41.342418,0,0
2021-03-29 18:01:42.346377,0,0
2021-03-29 18:01:43.349607,0,0
2021-03-29 18:01:44.350181,0,0
2021-03-29 18:01:45.354510,0,0
2021-03-29 18:01:46.355806,0,0
